Id,Price
4567,162067.73301726975
5925,127931.09045481878
960,148423.72521466113
3848,122398.68055133373
746,210295.0557503794
868,364343.80780647433
672,111273.70301193632
2471,206314.8368376568
4510,122948.2657840657
8354,254876.69501371338
6393,180756.50741204104
13270,228624.20678296933
5250,305103.8943191582
16751,173637.77900758403
11404,140359.77969098694
10588,358480.10698872415
14925,192913.03382957834
6791,233757.1560108793
16097,214758.6959704237
16428,359645.60233537934
6945,322632.7254939544
3190,183167.39609429793
15709,415567.8098548512
13155,163874.92623483864
7675,212271.4735047498
14686,243443.87206237292
609,142250.33823118862
11155,181006.17944250756
10869,209937.0239427664
15742,191265.5752780359
9245,192067.17938905157
3340,170033.25690749232
2359,286465.5761903803
8070,217730.056269085
13707,121461.94076264741
16079,296379.5232064816
15937,298384.41765229474
14090,196960.01455786807
9008,220058.57878553504
16384,171876.383466747
11657,230419.1278707289
13151,143156.3687212168
8990,149913.1962456511
11857,179294.0906990628
1565,158300.82381849008
8174,89008.97623690621
9247,231921.43750991864
10478,228664.7038120854
15509,150074.76042270125
8306,265420.9880857008
6642,184663.8839555134
7472,208152.46454728514
15989,136000.30994961032
13682,119523.79064261052
163,257845.08558755103
7076,206316.65729411214
7478,320757.83543429367
3029,191068.70859786886
1814,140396.23581198585
10057,130479.46951287975
15100,192678.2802653167
12694,196389.47397740177
6291,192293.19633346944
12603,177169.4090010338
3218,233164.87225954694
13456,127618.40257334984
10170,238511.96683332443
4530,149444.36704727323
13329,159455.88697498478
4820,146792.57514378606
10896,169263.15042862025
13416,124934.25470225795
2701,219964.06244495691
11265,327415.2218835931
9189,257599.12018892085
1858,204868.10082389388
14536,243868.32612234086
6199,292280.4501350634
14730,146575.8699021369
7510,241038.20216834126
15505,154294.73732191502
7446,181141.1271924913
14016,154004.9351439365
14113,105692.58159021834
8721,291124.4205056493
6193,257996.2223842166
5717,175683.0239507942
5427,317716.77140825865
9520,471938.2985412214
6869,98810.13202375978
1658,153938.42626685897
